,predict,grouth_True,class_id
2698,Ngày bán: 15/08/2020 09:47,Ngày bán: 15/08/2020 09:47,TIMESTAMP
2699,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2700,22.409,22.409,TOTAL_COST
2701,MINIMARTANAN,MINIMART ANAN,SELLER
2702,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2703,Ngày: 15/08/2020-19:07,Ngày: 15/08/2020 - 19:07,TIMESTAMP
2704,Tổng cộng,Tổng cộng,TOTAL_COST
2705,"76,000","76,000",TOTAL_COST
2706,SIÊU THÌ BÁCH HÒA TỔNG HÓP,SIEU THI BACH HOA TONG HOP,SELLER
2707,Sở 5 Cầm Tây - Cầm Phá - QN,Số 5 Cẩm Tây - Cẩm Phả - QN,ADDRESS
2708,Ngày: 03/08/2020-17:,Ngày: 09/08/2020-17:,TIMESTAMP
2709,Tiên khách trá:,Tiền khách trả:,TOTAL_COST
2710,VNI,VNĐ,TOTAL_COST
2711,"234,375",2344375,TOTAL_COST
2712,Vincommerce,VinCommerce,SELLER
2713,VM% QNH 1060-1062 Trần Phú,VM+ QNH 1060-1062 Trần Phú,ADDRESS
2714,Và Số 1060-1062 Đường Trần Phú,Số 1060-1062 Đường Trần Phú,ADDRESS
2715,"TP. Câm Phà, Quảng Ninh Thị","TP. Cẩm Phả, Quảng Ninh",ADDRESS
2716,Ngày bán: 15/08/2020 11:04,Ngày bán: 15/08/2020 11:04,TIMESTAMP
2717,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2718,25.600,25.600,TOTAL_COST
2719,Vincommerce,VinCommerce,SELLER
2720,VM% QNH 1060-1062 Trần Phú,VM+ QNH 1060-1062 Trần Phú,ADDRESS
2721,Số 1030-1062 Đường Trần Phú,Số 1050-1062 Đường Trần Phú,ADDRESS
2722,"TP. Cảm Phá, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
2723,Ngày:13/08/2020,Ngày: 13/08/2020,TIMESTAMP
2724,Thời gian:20:18,Thời gian: 20:18,TIMESTAMP
2725,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
2726,ĐC: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
2727,Thời gian:09:39:25 - 14/08/2020,Thời gian: 09:39:25 - 14/08/2020,TIMESTAMP
2728,Tổng số thanh toán:,Tổng số thanh toán,TOTAL_COST
2729,10.000,10.000đ,TOTAL_COST
2730,Tổng thanh toán:,Tổng thanh toán;,TOTAL_COST
2731,"650,000",650000,TOTAL_COST
2732,Ngày 14 tháng 08 năm 2020,Ngày 14 tháng 08 năm 2020,TIMESTAMP
2733,Địa chỉ: 102C1 Phạm Ngọc Thạch,Địa chỉ: 102C1 Phạm Ngọc Thạch,ADDRESS
2734,Phương T02C Liên Quận Đồng Đa,Phường Kim Liên - Quận Đống Đa,ADDRESS
2735,Hà Nội,Hà Nội,ADDRESS
2736,Vincommerce,VinCommerce,SELLER
2737,"19 VM% QNH Tố 7, Khu Minh Tiến A 1976","MA CHH Tổ 7 , Khu Minh Tiến A",ADDRESS
2738,"Tổ 7, Khu Minh Tiến A","Tổ 7, Khu Minh Tiến A",ADDRESS
2739,"P. Cẩm Bình, TP. Cấm Phà, QNH","P. Cẩm Bình, TP. Cẩm Phả, QNH",ADDRESS
2740,Ngày bán: 13/08/2020 07:34,Ngày bán: 13/08/2020 07:34,TIMESTAMP
2741,TỔNG TIỀN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2742,"3,900",3.900,TOTAL_COST
2743,SCTC CÔ THÒ 104 TRẦN PHÚ - CẨM,SCTC CÔ THỎ 104 TRẦN PHÚ- CẤM,SELLER
2744,PHÁ,PHA,SELLER
2745,104 Trần Phú - phương cấm Tây - Thành phố Cấm Thế Thứ Trị,"104 Trần Phú, Phường Cẩm Tây, Thành phố Cẩm",ADDRESS
2746,Phá Quảng Ninh,Quảng Ninh,ADDRESS
2747,Tổng thanh toán,Tổng thanh toán,TIMESTAMP
2748,50.000a,50.000đ,TIMESTAMP
2749,Tiêm đưa,Tiền trả,SELLER
2750,"244/23a Huỳnh Văn Bánh, P.11, Q.PN","244/23a Huỳnh Văn Bánh, P.11,Q PN",ADDRESS
2751,Ngày/ giờ vào:,Ngày giờ vào vào:,TIMESTAMP
2752,04.10.2020 11.58,04.10.2020 11.58,TIMESTAMP
2753,Ngày/ giờ ra:,Ngày giờ ra:,TIMESTAMP
2754,04.10.2020 12.00,04.10.2020 12.00,TIMESTAMP
2755,Tiên Thanh Toán:,Tiên Thanh Toán,TOTAL_COST
2756,81 000,81 000,TOTAL_COST
2757,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
2758,Đc: 212 Đường Trần Phú-Cẩm Phả,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
2759,Thời gian:20:39:09 - 14/08/2020,Thời gian: 20:39:09-14/08/2020,TIMESTAMP
2760,Tổng số thanh toán:,Tổng số thanh toán,TOTAL_COST
2761,15.500d,15.500đ,TOTAL_COST
2762,168 Nguyen Dinh Chieu Q.3,168 Nguyen Dinh Chieu Q.3,ADDRESS
2763,Ngay: 21/05/2020 10:56:29,Ngày: 21/05/2020 10:56:29,TIMESTAMP
2764,Tong so tien thanh toan:,Tong so tien thanh toan:,TOTAL_COST
2765,"306,060.00","306,060.00",TOTAL_COST
2766,Legend,Legend,SELLER
2767,Welcome to Trung Nguyen Legend,Melcome to Trung Nguyen Legend,SELLER
2768,Add: 683 - 685 duong 3/2 P.6 Q.10 - HCM,Add: 683 - 685 duong 3/2 P.6 Q.10 - HCM,ADDRESS
2769,Ngay: 04/20/19 11:25,Ngày : 04/20/19 11:25,TIMESTAMP
2770,Total VND,Total VND,TOTAL_COST
2771,NHÀ SÁCH GD-TC CẨM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
2772,19 Đc: 212 Đường Trần Phú-Cẩm Phả Như Trị,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
2773,Thời gian:20:07:29 - 14/08/2020,Thời gian 20:07:29 - 14/08/2020,TIMESTAMP
2774,124.000d,124.000đ,TOTAL_COST
2775,SCTC CÔ THỎ 104 TRẦN PHÚ - CẨM,SCTC cô THỎ 104 TRẦN PHÚ - CẨM,SELLER
2776,PHẢ,PHẢ,SELLER
2777,104 Trần Phú - phường Cấm Tây - Thành phố Cấm,104 Trần Phú - phường Cẩm Tây - Thành phố Cẩm,ADDRESS
2778,Phả - Quảng Ninh,Phả - Quảng Ninh,ADDRESS
2779,Ngày: 10/08/2020 (08:45 CH- 08:45 CH),Ngày: 10/08/2020 (08:15 CH - 08:15 CH),TIMESTAMP
2780,Tổng thanh toán,Tổng thanh toán,TOTAL_COST
2781,40.000,40.000đ,TOTAL_COST
2782,MINIMART ANAN,MINIMART ANAN,SELLER
2783,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2784,Ngày: 15/08/2020-16:53,Ngày: 15/08/2020 - 16:53,TIMESTAMP
2785,Tổng cộng:,Tổng cộng:,TOTAL_COST
2786,"124,000","124,000",TOTAL_COST
2787,MINIMART ANAN,MINIMART ANAN,SELLER
2788,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2789,Ngày: 10/08/2020-14:47,Ngày: 10/08/2020 - 14:47,TIMESTAMP
2790,Tổng cộng:,Tổng cộng :,TOTAL_COST
2791,"5,000","5,000",TOTAL_COST
2792,Vincommerce,VinCommerce,SELLER
2793,VM4 QNH 1060-1062 Trân Phú,VM+QNH 1060-1060-1062 Trần Phú,ADDRESS
2794,Và Số 1060-1062 Đường Trần Phú Thuận,Số 1060-1062 Đường Trần Phú,ADDRESS
2795,"TR. Cầm Phả, Quảng Ninh","TP.Cẩm Phả, Quảng Ninh",ADDRESS
2796,Ngày bán:14/08/2020 07:37,Ngày bán: 14/08/2020 07:37,TIMESTAMP
2797,TỔNG TIỀN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2798,26.500,26.500,TOTAL_COST
2799,Vincommerce,VinCommerce,SELLER
2800,VM4 ONH 1080-1052 Trần Phú,VM+QNH 1060-1062 Trần Phú,ADDRESS
2801,Số 1060.1082 Đường Trần Phú,Số 1080-1082 Đường Trần Phú,ADDRESS
2802,"TP. Cầm Phá, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
2803,Ngày bán:13/08/2020 19:04,Ngày bán: 13/08/2020 19:04,TIMESTAMP
2804,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2805,26.500,26.500,TOTAL_COST
2806,MINIMART ANAN,MINIMART ANAN,SELLER
2807,Chợ Sủi Phú Thị Gia Lâm Đó,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2808,Ngày: 09/08/2020-20:06,Ngày: 09/08/2020 - 20:06,TIMESTAMP
2809,Tổng tiền,Tổng tiền,TOTAL_COST
2810,"296,016","296,016",TOTAL_COST
2811,Tổng số thanh toán:,Tổng số thanh toán,TOTAL_COST
2812,973.000d,973.000đ,TOTAL_COST
2813,NHÀ SÁCH GD-TC CẤM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
2814,Đc: 212 Đường Trần Phú Cẩm Phà,Đc: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
2815,Thời gian:19:28 31 - 09/08/2020,Thời gian 19:28:31 - 09/08/2020,TIMESTAMP
2816,MINIMART ANAN,MINIMART ANAN,SELLER
2817,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2818,Ngày: 12/08/2020-15:34,Ngày: 12/08/2020-15:34,TIMESTAMP
2819,Tổng tiền:,Tổng tiền,TOTAL_COST
2820,"63,750","63,750",TOTAL_COST
2821,Vincommerce,VinCommerce,SELLER
2822,VM% anh 1080-1062 Trần Phú,VM + QNH 1060-1062 Trần Phú,ADDRESS
2823,Số 1060-1062 Đường Trần Phú,Số 1060-1062 Đường Trần Phú,ADDRESS
2824,"TP. Câm Phà, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
2825,Ngày bán:14/08/2020 07:21,Ngày bán: 14/08/2020 07:21,TIMESTAMP
2826,TỔNG TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2827,129.100,129.100,TOTAL_COST
2828,sieu thi bach hoa tong hop,SIEU THI BACH HOA TONG HOP,SELLER
2829,Số 5 Cẩm Tây - Cẩm Phả - QN,Số 5 Cẩm Tây - Cẩm Phả -QN,ADDRESS
2830,Ngày:,Ngày:,TIMESTAMP
2831,Tổng cộng (đã gồm VAT),Tổng cộng của gồm VAT),TOTAL_COST
2832,"84,000",84.000,TOTAL_COST
2833,TÊN ĐẠỊ LÝ:....,TÊN ĐẠI LÝ:,SELLER
2834,VINMART,VINMART,SELLER
2835,ĐỊA CHỈ:,ĐỊA CHỈ:,ADDRESS
2836,"10 7 khu minh tiến a,p.cả",TỔ 7 KHU MINH TIẾN A. P. CẨ,ADDRESS
2837,NGÀY:,NGÀY:,TIMESTAMP
2838,1308/2020 11:21:33,11/08/2020 11:21:33,TIMESTAMP
2839,TỐNG:,TỔNG:,TOTAL_COST
2840,20.000 Đ,20.000 Đ,TOTAL_COST
2841,NHÀ SÁCH ON TÔ CẤM PHẢ,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
2842,Dc 212 Đường Tiền Phú Cầm Phú,"ĐC: 212 Đường Trần Phú, Cẩm Phả",ADDRESS
2843,Thời gian 11 11 83.000082020,Thòi gian: 11 14 53 09/08/2020,TIMESTAMP
2844,Tổng số thanh toán:,Tổng số thanh toán:,TOTAL_COST
2845,Vincommerce,VinCommerce,SELLER
2846,VM4 QNH 690 Trần Phú Trị,VM+QNh 590 Trần Phú,ADDRESS
2847,"Số 550 Trần Phú, P. Cảm Thủy","Số 680 Trần Phú, P.Cẩm Thuỷ",ADDRESS
2848,"TP. Cảm Phả, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
2849,15 Ngày bán: 15/08/2020 09:36,Ngày bán: 15/08/2020 09:36,TIMESTAMP
2850,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2851,48.000,48.000,TOTAL_COST
2852,MINIMART ANAN,MINIMART ANAN,SELLER
2853,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2854,Ngày: 11/08/2020-20:57,Ngày: 11/08/2020-20-20:57,TIMESTAMP
2855,Tổng cộng:,Tổng cộng :,TOTAL_COST
2856,"62,500","62,500",TOTAL_COST
2857,Uncommerce,VinCommerce,SELLER
2858,VIM4 QNH 690 Trần Phú Nam,"Số 590 Trần Phú, P.Cẩm Thuỷ",ADDRESS
2859,"Số 590 Trần Phú, P. Cấm Thuy","Số 590 Trần Phú, P.Cẩm Thuỷ",ADDRESS
2860,"TP. Cầm Phả, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
2861,Ngày bán: 13/08/2020 22:06,Ngày bán: 13/08/2020 22:06,TIMESTAMP
2862,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2863,40.000,40.000,TOTAL_COST
2864,CTY CP SÁCH & TBTH QUẢNG NINH,CTY CP SÁCH & TBTH QUẢNG NINH,SELLER
2865,Đc Số 10 Long Tiên - TP.Hạ Long - AN,ĐC Số 10 Long Tien - TP Hạ Long - ON,ADDRESS
2866,Print time.21.54.05 - 10/08/2020,Print time: 21:54:05 10/08/2020,TIMESTAMP
2867,Tổng số thanh toan,Tổng số thanh toan,TOTAL_COST
2868,33.212.050d,33.212.050d,TOTAL_COST
2869,DIM SUM CORNER TRUNG HÒA,"DIM SUM CORNER TRUNG, HÒA",SELLER
2870,"17 Trung Hòa, Cầu Giấy, Hà Nội. Nội","17 Trung Hòa, Cầu Giấy, Hà Nội",ADDRESS
2871,Ngày: 13/08/2020 (08:09 CH - 08:35 CH) THỊ,Ngày: 13/08/2020 (08:09 CH - 08:35 CH),TIMESTAMP
2872,Tổng thanh toán,Tống thanh toán,TOTAL_COST
2873,292.0008,292.000đ,TOTAL_COST
2874,Vincommerce,VinCommerce,SELLER
2875,VM% QNH Tổ 8 Khu 3B Cầm Trung,VM+ QNH Tổ 8 Khu 3B Cẩm Trung,ADDRESS
2876,"Tổ 8, Khu 3B, P. Cầm Trung","Tổ 8, Khu 3B, P. Cẩm Trung",ADDRESS
2877,"TP. Câm Phả, T. Quảng Ninh","TP. Cẩm Phả, T.Quảng Ninh",ADDRESS
2878,Ngày:14/08/2020,Ngày : 14/08/2020,TIMESTAMP
2879,Thời gian:10:13,Thời gian: 10:13,TIMESTAMP
2880,PHÔ MỎI,PHỐ MỎ,SELLER
2881,Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy Tinh,Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy,ADDRESS
2882,Tp. Cẩm Phả - Quảng Ninh,Tp. Cẩm Phả - Quảng Ninh,ADDRESS
2883,13/08/2020 - 20:25,13/08/2020 - 20:26,TIMESTAMP
2884,Tông cộng:,Tông cộng:,TOTAL_COST
2885,"160,000","60,000",TOTAL_COST
2886,MINIMART ANAN,MINIMART ANAN,SELLER
2887,Chợ Sủi Phú Thị Gia Làm,Chợ Sủi Phú Thị Gia Lam,ADDRESS
2888,Ngày: 13/08/2020-17:33,Ngày: 13/08/2020-17:33,TIMESTAMP
2889,Tổng tiền:,Tổng tiền,TOTAL_COST
2890,"147,000","147,000",TOTAL_COST
2891,MINIMART ANAN,MINIMART ANAN,SELLER
2892,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2893,Ngày: 16/08/2020-15:17,Ngày: 16/08/2020 - 15:17,TIMESTAMP
2894,Tổng tiến,"150,000",TOTAL_COST
2895,Vincommerce,VinCommerce,SELLER
2896,VM% QNH Dự án quỹ đất đường sắt,VM+QNH Dự án quỹ đất đường sắt,ADDRESS
2897,DA QĐ dọc tuyến ĐS Tổ 3 Khu 2,DA QĐ dọc tuyến ĐS Tổ 3 Khu 2,ADDRESS
2898,"P. Cảm Sơn, TP. Cầm Phà, T.QN","P.Cẩm Sơn, TP.Cẩm Phả, T.QN",ADDRESS
2899,Ngày:15/08/2020,Ngày: 15/08/2020,TIMESTAMP
2900,- Thời gian:10:27 m,Thời gian: 10:27,TIMESTAMP
2901,Vincommerce,VinCommerce,SELLER
2902,VIM- ONH Tổ 8 Khu 3B Cấm Trung,VM+ QNH Tổ 8 Khu 3B Cẩm Trung,ADDRESS
2903,"Tổ 8, Khu 3B, P. Cảm Trung","Tổ B, Khu 3B, P.Cẩm Trung",ADDRESS
2904,"TP. Cầm Phả, T. Quảng Hình","TP.Cẩm Phả, T.Quảng Ninh",ADDRESS
2905,Ngày bán:13/08/2020 10:04,Ngày bán: 13/08/2020 10:04,TIMESTAMP
2906,TỔNG TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2907,35.000,35.000,TOTAL_COST
2908,Vincommerce,VinCommerce,SELLER
2909,"VM4 QNH Tỏ 7, Khu Minh Tiến A","VMN QNH Tổ 7, Khu Minh Tiến A",ADDRESS
2910,Ngày bán:11/08/2020 11:20,Ngày bán: 11/08/2020 11:20,TIMESTAMP
2911,"Tổ 7, Khu Minh Tiến A",Tổ 7. Khu Minh Tiến A,ADDRESS
2912,"P. Cẩm Bình, TP. Cẩm Phà, QNH","P. Cẩm Bình, TP. Cẩm Phả, QNH",ADDRESS
2913,TỔNG TIỀN PHẢI T. TOÁN,TÔNG TIẾN PHẢI T.TOÁN,TOTAL_COST
2914,19.000,19.000,TOTAL_COST
2915,Vncommerce 19,VinCommerce,SELLER
2916,V10 0101 1080M02T1,VM+ QNH 1060-1062 Trần Phú,ADDRESS
2917,Số 10101002 Đường Trên Phú,Số 1060-1062 Đường Trần Phú,ADDRESS
2918,"TP CẢM PHI, OĂNG NINH","TP Cẩm Phả, Quảng Ninh",ADDRESS
2919,Ngày bán: 13/08/2020 19:01,Ngày bán: 13/08/2020 19:01,TIMESTAMP
2920,TỔNG TIẾN PHẢI T.TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2921,Ngày ban:06/08/2000 19816,Ngày bán: 06/05/2020 19:16,TIMESTAMP
2922,TỔNG TIÊN PHÁI 1. TOÀI,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2923,Vincommerce,VinCommerce,SELLER
2924,"01,161, PM NATA","VM+ QNH Tổ 7, khu Minh Tiến A",ADDRESS
2925,ninuan,"Tổ 7, Khu Minh Tiến A",ADDRESS
2926,0010100000000,"P Cẩm Bình, TP.Câm Phú, QNH",ADDRESS
2927,Ngày Dân 13/08/2020 10.13,Ngày bán: 13/08/2020 10:13,TIMESTAMP
2928,TỔNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2929,61.800,61.800,TOTAL_COST
2930,Xuân,Xuân,SELLER
2931,"244/23a Huỳnh Văn Bánh, P.11, QPN","244/23a Huỳnh Văn Bánh, P.11, Q.PN",ADDRESS
2932,Ngày/ giờ vào:,Ngày giờ vào:,TIMESTAMP
2933,05.10.2020 08.56,05.10.2020 08.56,TIMESTAMP
2934,Tiên Thanh Toán,Tiên Thanh Toán,TOTAL_COST
2935,64 000,64 000,TOTAL_COST
2936,PHÔ MỎI,PHO MO,SELLER
2937,Tổ 7 khu Tân Lập 4 - P. Cẩm Thủy Thuỷ,Tổ 7 Khu Tân Lập 4 - P.Cẩm Thủy,ADDRESS
2938,Tp. Cẩm Phả - Quảng Ninh,Tp. Cẩm Phả - Quảng Ninh,ADDRESS
2939,13/08/2020-22:64,13/08/2020 - 22:64,TIMESTAMP
2940,Tổng cộng:,Tổng cộng:,TOTAL_COST
2941,"20,000","20,000",TOTAL_COST
2942,Vincommerce,VinCommerce,SELLER
2943,"VM% QNH Tổ 7, Khu Minh Tiến A","VMN QNH Tổ 7, Khu Minh Tiến A",ADDRESS
2944,"Tổ 7, Khu Minh Tiến A","Tổ 7 , Khu Minh Tiến A",ADDRESS
2945,"P. Cầm Bình, TP. Cầm Pha, QNH","P. Cẩm Bình, TP. Cẩm Phả, QNH",ADDRESS
2946,Ngày:10/08/2020,Ngày: 10/08/2020,TIMESTAMP
2947,Thời gian:10:24,Thời gian: 10:24,TIMESTAMP
2948,sieu thi bach hoa tong hop,SIEU THI BACH HOA TONG HOP,SELLER
2949,Số 5 Cẩm Tây - Cẩm Phá - QN,Số 5 Cẩm Tây - Cẩm Phả - QN,ADDRESS
2950,Tổng cộng (đã gồm VAT):,Tổng cộng cộng (đã gồm VAT),TOTAL_COST
2951,"39,000","39,000",TOTAL_COST
2952,MINIMARTANAN,MINIMART ANAN,SELLER
2953,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2954,Ngày: 13/08/2020-16:10,Ngày: 13/08/2020 - 16:10,TIMESTAMP
2955,Tổng cộng:,Tổng cộng:,TOTAL_COST
2956,"24,000","24,000",TOTAL_COST
2957,TRONHÀ SÁCH GD-TC CẨM PHẢI,NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
2958,19 Đc: 212 Đường Trần Phú-Cẩm Phả Nội,ĐC: 212 Đường Trần Phú-Cẩm Phả,ADDRESS
2959,11 Thời gian:08:00:42 - 15/08/2020,Thời gian: 08:00:42 - 15/08/2020,TIMESTAMP
2960,Tổng số thanh toán:,Tổng số thanh toán:,TOTAL_COST
2961,5.000d,5.000đ,TOTAL_COST
2962,MINIMART ANAN,MINIMART ANAN,SELLER
2963,Thế Chợ Sùi Phú Thị Gia Lam Đó,Chợ Sủi Phú Thị Gia Lâm Lâm,ADDRESS
2964,Ngày: 12/08/2020-15:06,Ngày: 12/08/2020 - 15:06,TIMESTAMP
2965,Tổng cộng:,Tổng cộng :,TOTAL_COST
2966,"283,000","283,000",TOTAL_COST
2967,MINIMARTANAN,MINIMART ANAN,SELLER
2968,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2969,Ngày: 10/08/2020-14:28,Ngày: 10/08/2020 - 14:28,TIMESTAMP
2970,Tổng cộng:,Tổng cộng:,TOTAL_COST
2971,"47,000","47,000",TOTAL_COST
2972,CỬA HÀNG NĂM OÁNH,CỬA HÀNG NĂM OÁNH,SELLER
2973,"Thôn Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội","Thôn Phú Thuỵ, Xã Phú Thị, Huyện Gio Lâm, TP Hà Nội",ADDRESS
2974,Ngày: 10-08-2020,Ngày: 10-08-2020,TIMESTAMP
2975,Cộng tiên hàng,Cộng tiền hàng,TOTAL_COST
2976,"98,000","98,000",TOTAL_COST
2977,Uncommerce,VinCommerce,SELLER
2978,VMt 0NH 112 Thanh Niên,VM+QNH 112 Thanh Niên,ADDRESS
2979,"Số 112 Thanh Niên, P. Cầm Thành","Số 112 Thanh Niên, P. Cẩm Thành",ADDRESS
2980,"TP. Cầm Phá, Quảng Ninh","TP. Cẩm Phả, Quảng Ninh",ADDRESS
2981,18 Ngày bán:12/08/2020 18:15 mm,Ngày bán: 12/08/2020 18:15,TIMESTAMP
2982,TỔNG TIẾN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2983,24.500,24.500,TOTAL_COST
2984,IN MINIMART ANAN,MINIMART ANAN,SELLER
2985,Trong Chợ Sũi Phú Thị Gia Làm Đó,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2986,Ngày: 10/08/2020-06:51,Ngày: 10/08/2020 06:51,TIMESTAMP
2987,Tổng tiến:,Tổng tiền,TOTAL_COST
2988,"57,000","57,000",TOTAL_COST
2989,MINIMART ANAN,MINIMART ANAN,SELLER
2990,Và Chợ Sủi Phú Thị Gia Lâm Đó,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
2991,Ngày: 10/08/2020-17:28,Ngày: 10/08/2020 - 17:28,TIMESTAMP
2992,Tổng cộng:,Tổng cộng:,TOTAL_COST
2993,"39,000","39,000",TOTAL_COST
2994,Guitar Cafe,Guitar Cafe,SELLER
2995,"28 Phan Chu Trinh, Hiệp Phú, Quận 9, Hồ","28 Phan Chu Trinh, Thiệp Phú, Quận 9, Hồ",ADDRESS
2996,Ngày lập: 03/10/2020,Ngày lập: 03/10/2020,TIMESTAMP
2997,"Thành tiên: 100,000","Thành tiền: 100,000",TOTAL_COST
2998,TỜNG TIỀN PHẢI T. TOÁN,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
2999,57.600,57.600,TOTAL_COST
3000,Ngày bán:08/08/2020 20:18,Ngày bán: 08/08/2020 20:18,TIMESTAMP
3001,Vincommerce,VinCommerce,SELLER
3002,VIet 01H 112 Thanh Nien,VM+ QNH 112 Thanh Niên,ADDRESS
3003,"Số 112 Thanh Niên, P. Cầm Thành","Số 112 Thanh Niên, P.Cẩm Thành",ADDRESS
3004,"TP. Cầm Phú, Quảng Ninh","TP.Cẩm Phả, Quảng Ninh",ADDRESS
3005,ajjawwojuk,VinCommerce,SELLER
3006,ny uệ11 huong z901-030L 9S,Số 1060-1082 Đường Trần Phú,ADDRESS
3007,quịn buệny 'ey) wẹp'dl,"TP. Cẩm Phả, Quảng Ninh",ADDRESS
3008,00:12 0202/80/E1:UỆQ /eôn,Ngày bán: 13/08/2020 21:00,TIMESTAMP
3009,NYOLT IYHA NJIL ONOL,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
3010,008 19,64.800,TOTAL_COST
3011,AMINIMART ANAN,MINIMART ANAN,SELLER
3012,Chợ Sủi Phú Thị Gia Lâm,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
3013,Ngày: 12/08/2020-14:19,Ngày: 12/08/2020 - 14:19,TIMESTAMP
3014,Tổng cộng:,Tổng cộng:,TOTAL_COST
3015,"47,500","47,500",TOTAL_COST
3016,NGÀY KINH DOANH:08/08/2020,NGÀY KINH DOANH:08/08/2020,TIMESTAMP
3017,TỔNG THANH TOÁN,Tổng thanh toán,TOTAL_COST
3018,8.122.545,B.122.545,TOTAL_COST
3019,CỬA HÀNG NĂM OÁNH THỊ,CỬA HÀNG NĂM OÁNH,SELLER
3020,Ngày: 10-08-2020,Ngày: 10-08-2020,TIMESTAMP
3021,Cộng tiền hàng,Cộng tiền hàng,TOTAL_COST
3022,"51,500","51,500",TOTAL_COST
3023,"Thôn Phù Timy, Xã Phú Thị, Huyện Gin Lâm, TP Hà Nội","Thôn Phú Thụy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",ADDRESS
3024,1980860322496 - 02438765210,0869322496-02436765210,ADDRESS
3025,Vincommerce,VinCommerce,SELLER
3026,VM4 ONH Dư án KDC lấn biến coc 8,VM+QNH Dự án KDC lấn biển cọc 6,ADDRESS
3027,"DA khu DCLB cọc 8, P. Câm Sơn","DA khu DCLB cọc 6, P. Cẩm Sơn",ADDRESS
3028,"TP. Câm Phá, T, Quảng Ninh","TP. Cẩm Phả, T.Quảng Ninh",ADDRESS
3029,Ngày bán: 14/08/2020 21:37,Ngày bán: 14/08/2020 21:37,TIMESTAMP
